wrap_image/_alt,eventwrapper_link_numbers/_source,eventwrapper_link_numbers,inner_value_2_numbers,eventwrapper_images,eventlogo_image/_alt,eventwrapper_images/_alt,inner_value_1,inner_value_2,inner_value_3,inner_value_2_numbers/_source,wrap_image,eventwrapper_link/_text,eventwrapper_link,eventlogo_image
Geauxhack,30; - 31,30; -31,30; -31,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/061/thumb/geauxhack.jpg?1403123831; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/061/thumb/geauxhack.jpg?1403123830,Geauxhack,Geauxhack; Geauxhack,GeauxHack,August 30th - 31st,"Baton Rouge, LA",30; - 31,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/061/thumb/geauxhack.jpg?1403123831,"GeauxHack August 30th - 31st Baton Rouge, LA",http://geauxhack.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/061/thumb/geauxhack.jpg?1403123830
Hophacks,5; - 7,5; -7,5; -7,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/080/thumb/hophacks.png?1408029825; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/080/thumb/hophacks.png?1408029821,Hophacks,Hophacks; Hophacks,HopHacks,September 5th - 7th,"Baltimore, MD",5; - 7,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/080/thumb/hophacks.png?1408029825,"HopHacks September 5th - 7th Baltimore, MD",http://hophacks.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/080/thumb/hophacks.png?1408029821
Mhacks,5; - 7,5; -7,5; -7,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/059/thumb/mhacks.jpeg?1402512212; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/059/thumb/mhacks.jpg?1405537604,Mhacks,Mhacks; Mhacks,MHacks,September 5th - 7th,"Ann Arbor, MI",5; - 7,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/059/thumb/mhacks.jpeg?1402512212,"MHacks September 5th - 7th Ann Arbor, MI",http://mhacks.org,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/059/thumb/mhacks.jpg?1405537604
Hackisu,12; - 14,12; -14,12; -14,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/075/thumb/hackisu.jpg?1406326059; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/075/thumb/hackisu.jpg?1406326056,Hackisu,Hackisu; Hackisu,HackISU,September 12th - 14th,"Ames, IA",12; - 14,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/075/thumb/hackisu.jpg?1406326059,"HackISU September 12th - 14th Ames, IA",http://hackisu.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/075/thumb/hackisu.jpg?1406326056
Pennapps,12; - 14,12; -14,12; -14,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/050/thumb/pennapps.jpg?1402058978; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/050/thumb/pennapps.png?1402058977,Pennapps,Pennapps; Pennapps,PennApps X,September 12th - 14th,"Philadelphia, PA",12; - 14,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/050/thumb/pennapps.jpg?1402058978,"PennApps X September 12th - 14th Philadelphia, PA",http://pennapps.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/050/thumb/pennapps.png?1402058977
Hackgt,19; - 21,19; -21,19; -21,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/058/thumb/hackgt.png?1402505220; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/058/thumb/hackgt2.png?1403144124,Hackgt2,Hackgt; Hackgt2,HackGT,September 19th - 21st,"Atlanta, GA",19; - 21,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/058/thumb/hackgt.png?1402505220,"HackGT September 19th - 21st Atlanta, GA",http://hackgt.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/058/thumb/hackgt2.png?1403144124
Hackthenorth,19; - 21,19; -21,19; -21,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/042/thumb/hackthenorth.jpg?1402057937; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/042/thumb/hackthenorth.png?1402057936,Hackthenorth,Hackthenorth; Hackthenorth,Hack the North,September 19th - 21st,"Waterloo, ON",19; - 21,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/042/thumb/hackthenorth.jpg?1402057937,"Hack the North September 19th - 21st Waterloo, ON",http://hackthenorth.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/042/thumb/hackthenorth.png?1402057936
Unhackathon,19; - 21,19; -21,19; -21,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/057/thumb/unhackathon.png?1402504905; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/057/thumb/unhackathon.png?1402504904,Unhackathon,Unhackathon; Unhackathon,Unhackathon,September 19th - 21st,"Stony Brook, NY",19; - 21,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/057/thumb/unhackathon.png?1402504905,"Unhackathon September 19th - 21st Stony Brook, NY",http://www.unhackathon.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/057/thumb/unhackathon.png?1402504904
Bigredhacks,26; - 28,26; -28,26; -28,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/045/thumb/bigredhacks.jpeg?1402058406; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/045/thumb/bigredhacks.png?1402058405,Bigredhacks,Bigredhacks; Bigredhacks,BigRed//Hacks,September 26th - 28th,"Ithaca, NY",26; - 28,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/045/thumb/bigredhacks.jpeg?1402058406,"BigRed//Hacks September 26th - 28th Ithaca, NY",http://bigredhacks.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/045/thumb/bigredhacks.png?1402058405
Hackpr,27; - 28,27; -28,27; -28,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/077/thumb/hackpr.jpg?1407691664; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/077/thumb/hackpr.png?1407691709,Hackpr,Hackpr; Hackpr,HackPR,September 27th - 28th,"Mayaguez, PR",27; - 28,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/077/thumb/hackpr.jpg?1407691664,"HackPR September 27th - 28th Mayaguez, PR",http://hackpr.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/077/thumb/hackpr.png?1407691709
Hackumbc,27; - 28,27; -28,27; -28,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/082/thumb/hackumbc.jpg?1408031814; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/082/thumb/hackumbc.png?1408031812,Hackumbc,Hackumbc; Hackumbc,HackUMBC,September 27th - 28th,"Baltimore, MD",27; - 28,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/082/thumb/hackumbc.jpg?1408031814,"HackUMBC September 27th - 28th Baltimore, MD",http://hackumbc.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/082/thumb/hackumbc.png?1408031812
Calhacks,3; - 5,3; -5,3; -5,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/043/thumb/calhacks.jpg?1402058012; https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/043/thumb/calhacks.png?1402058011,Calhacks,Calhacks; Calhacks,Cal Hacks,October 3rd - 5th,"Berkeley, CA",3; - 5,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/043/thumb/calhacks.jpg?1402058012,"Cal Hacks October 3rd - 5th Berkeley, CA",http://www.calhacks.io,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/043/thumb/calhacks.png?1402058011
